name,address,phone
St. Luke's Medical Center,14 Lakeview Terrace,555-3001
Bayshore General Hospital,88 Bayshore Drive,555-3002
Redwood Health Clinic,200 Redwood Ave,
Valley Presbyterian Hospital,5 Valley Road,555-3004
Cedar Park Medical,99 Cedar Park Blvd,555-3005
Summit Regional Hospital,310 Summit Pass,555-3006
Harborview Emergency Care,7 Harbor Lights St,
Maple Grove Clinic,45 Maple Grove Ln,555-3008
Northgate Medical Center,1200 North Gate Rd,555-3009
Sunset Hills Hospital,33 Sunset Hills Dr,555-3010
