name,address,phone
General Hospital,123 Main Street,555-1000
City Medical Center,456 Oak Avenue,555-2000
Riverside Clinic,789 River Road,
St. Mary's Hospital,321 Church Lane,555-4000
Northside Health Center,88 North Blvd,555-5000
Lakewood Medical,55 Lake Drive,555-6000
Sunset Valley Hospital,12 Sunset Strip,555-7000
Eastside Emergency Care,900 East Park Ave,555-8000
Westbrook Community Hospital,200 Westbrook Rd,
Mountain View Clinic,47 Summit Trail,555-9000
Harbor General Hospital,3 Harbor View,555-1100
Pine Ridge Medical Center,610 Pine Ridge Rd,555-1200
Green Valley Health,29 Valley Green Dr,555-1300
Central Park Hospital,1 Central Park West,555-1400
Springfield Medical Group,77 Springfield Ave,
Maplewood Urgent Care,5 Maple St,555-1600
Oceanview Hospital,18 Coastal Hwy,555-1700
Hillcrest Medical,400 Hillcrest Blvd,555-1800
Sunrise Children's Hospital,66 Sunrise Lane,555-1900
Downtown Wellness Center,2 Downtown Plaza,555-2000
